ACC_YEAR,SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,LAND_GBN,LAND_GBN_NM,BONBEON,BUBEON,BLDG_NM,DEAL_YMD,OBJ_AMT,BLDG_AREA,TOT_AREA,FLOOR,RIGHT_GBN,CNTL_YMD,BUILD_YEAR,HOUSE_TYPE,REQ_GBN,RDEALER_LAWDNM
2024,11260,중랑구,10100,면목동,1,대지,0198,0026,도원아트빌,2024-03-22,27000,69.24,31.0,2.0,,,2002,연립다세대,중개거래,서울 중랑구
2024,11320,도봉구,10800,도봉동,1,대지,0030,0001,한신,2024-03-22,48000,84.94,0.0,1.0,,,1995,아파트,직거래,
2024,11440,마포구,12500,성산동,1,대지,0024,0019,동양하우징,2024-03-22,35800,37.77,24.0,6.0,,,2018,연립다세대,직거래,
2024,11590,동작구,10200,상도동,1,대지,0408,0000,상도동삼호아파트,2024-03-22,56000,84.52,0.0,15.0,,,1994,아파트,직거래,
2024,11620,관악구,10200,신림동,1,대지,1563,0070,파크맨션,2024-03-22,31500,74.03,24.0,4.0,,,2002,연립다세대,중개거래,서울 관악구
2024,11740,강동구,10100,명일동,1,대지,0333,0012,용이하이츠빌라(A동),2024-03-22,22000,43.0,23.0,1.0,,,1995,연립다세대,직거래,
2024,11560,영등포구,12600,양평동2가,1,대지,0045,0000,상록수,2024-03-22,54000,59.67,0.0,17.0,,,1999,아파트,중개거래,서울 영등포구
2024,11230,동대문구,10300,제기동,1,대지,1158,0050,메트로폴 스위트,2024-03-22,33000,29.81,46.63,10.0,,,2021,오피스텔,중개거래,서울 동대문구
2024,11680,강남구,10100,역삼동,1,대지,0792,0076,명당,2024-03-22,28000,80.94,40.0,-1.0,,,2002,연립다세대,직거래,
2024,11560,영등포구,11600,당산동6가,1,대지,0336,0004,유탑 유블레스2차,2024-03-22,14500,19.12,28.04,2.0,,,2012,오피스텔,중개거래,서울 영등포구
2024,11620,관악구,10200,신림동,1,대지,0010,0394,유엔빌리지(10-394),2024-03-22,10000,26.03,14.0,-1.0,,,2000,연립다세대,중개거래,서울 영등포구
2024,11305,강북구,10400,우이동,1,대지,0155,0004,해밀하우스,2024-03-22,37900,65.76,52.0,3.0,,,2023,연립다세대,중개거래,서울 강북구
2024,11680,강남구,11800,도곡동,1,대지,0538,0003,래미안도곡카운티,2024-03-22,230000,71.85,0.0,7.0,,,2016,아파트,중개거래,서울 강남구
2024,11545,금천구,10100,가산동,1,대지,0550,0017,가산 미소지움,2024-03-21,10500,15.93,15.93,3.0,,,2017,오피스텔,중개거래,경기 안양시동안구
2024,11545,금천구,10300,시흥동,1,대지,0882,0061,와이즈플레이스,2024-03-21,9200,14.22,0.0,14.0,,,2012,아파트,중개거래,서울 금천구
2024,11410,서대문구,11800,홍은동,1,대지,0465,0000,HDX휴팰리스,2024-03-21,58800,59.1,0.0,18.0,,,2018,아파트,중개거래,서울 서대문구
2024,11650,서초구,10800,서초동,1,대지,1451,0089,서초중흥S-클래스(도시형생활주택),2024-03-21,18000,22.37,0.0,5.0,,,2013,아파트,직거래,
2024,11290,성북구,13800,장위동,1,대지,0231,0299,경원빌라,2024-03-21,29000,30.42,16.0,3.0,,,1995,연립다세대,중개거래,서울 성북구
2024,11305,강북구,10200,번동,,,,,,2024-03-21,32000,46.81,79.0,0.0,,,1968,단독다가구,직거래,
2024,11320,도봉구,10500,쌍문동,1,대지,0013,0002,대웅,2024-03-21,28000,55.5,0.0,3.0,,,1989,아파트,중개거래,서울 도봉구
2024,11710,송파구,10700,가락동,1,대지,0084,0011,유림골든빌,2024-03-21,37500,72.48,42.0,5.0,,,2008,연립다세대,중개거래,서울 송파구
2024,11320,도봉구,10600,방학동,1,대지,0703,0009,대원아트빌,2024-03-21,20900,39.12,22.0,3.0,,,2008,연립다세대,중개거래,서울 도봉구
2024,11215,광진구,10500,자양동,1,대지,0787,0000,자양삼성,2024-03-21,125000,84.96,0.0,7.0,,,1999,아파트,중개거래,서울 광진구
2024,11305,강북구,10200,번동,1,대지,0138,0000,한솔솔파크,2024-03-21,67000,84.88,0.0,8.0,,,2005,아파트,직거래,
2024,11215,광진구,10500,자양동,1,대지,0861,0000,자양호반써밋,2024-03-21,166300,84.04,0.0,16.0,,,2021,아파트,중개거래,서울 광진구
2024,11320,도봉구,10700,창동,1,대지,0731,0054,새로움아파트,2024-03-21,32000,69.25,0.0,8.0,,,2012,아파트,중개거래,서울 은평구
2024,11680,강남구,10400,청담동,1,대지,0070,0007,청담빌라(70-7),2024-03-21,72000,90.48,47.0,4.0,,,1993,연립다세대,직거래,
2024,11560,영등포구,10300,영등포동2가,1,대지,0028,0117,이지리움S,2024-03-21,15500,13.35,0.0,11.0,,,2013,아파트,직거래,
2024,11410,서대문구,11000,북아현동,1,대지,1011,0000,신촌푸르지오,2024-03-21,64500,34.25,0.0,2.0,,,2015,아파트,중개거래,서울 서대문구
2024,11380,은평구,10800,역촌동,1,대지,0047,0037,엘리시아,2024-03-21,32500,54.48,32.0,3.0,,,2014,연립다세대,중개거래,서울 은평구
2024,11740,강동구,10900,천호동,1,대지,0425,0003,천호역 한강 푸르지오시티,2024-03-21,18000,24.84,35.34,24.0,,,2015,오피스텔,중개거래,서울 강동구
2024,11545,금천구,10100,가산동,1,대지,0140,0015,세림프라미스,2024-03-21,18262,22.78,28.09,4.0,,,2019,오피스텔,직거래,
2024,11380,은평구,10300,불광동,1,대지,0484,0031,백마노블레스텔,2024-03-21,9000,12.63,18.43,4.0,,,2003,오피스텔,직거래,
2024,11530,구로구,10800,오류동,1,대지,0031,0216,삼성드림빌에이동,2024-03-21,19000,27.83,19.0,5.0,,,2017,연립다세대,중개거래,서울 영등포구
2024,11380,은평구,10700,응암동,1,대지,0767,0000,백련산에스케이뷰아이파크,2024-03-21,93700,84.9,0.0,12.0,,,2020,아파트,중개거래,서울 은평구
2024,11530,구로구,10700,개봉동,1,대지,0333,0010,지윤,2024-03-21,20000,54.93,30.0,2.0,,,2012,연립다세대,직거래,
2024,11260,중랑구,10200,상봉동,1,대지,0130,0154,아안채,2024-03-21,25000,49.61,22.0,3.0,,,2014,연립다세대,직거래,
2024,11740,강동구,10800,성내동,1,대지,0012,0013,뜨라네(12-13),2024-03-21,34000,29.88,14.0,4.0,,,2016,연립다세대,중개거래,서울 강동구
2024,11560,영등포구,11300,당산동3가,1,대지,0558,0003,THE PARK 365,2024-03-20,37000,46.88,64.02,12.0,,,2007,오피스텔,중개거래,서울 영등포구
2024,11650,서초구,10100,방배동,1,대지,0939,0011,위너스빌(939-11),2024-03-20,41500,34.71,20.0,2.0,,,2017,연립다세대,중개거래,서울 서초구
2024,11530,구로구,10700,개봉동,1,대지,0403,0015,국일오피스텔,2024-03-20,9500,30.53,39.8,3.0,,,2002,오피스텔,중개거래,경기 용인시기흥구
2024,11110,종로구,15500,관수동,1,대지,0004,0000,신일 해피트리앤,2024-03-20,20500,19.34,29.55,2.0,,,2022,오피스텔,중개거래,서울 종로구
2024,11710,송파구,11200,오금동,1,대지,0045,0004,동인트루빌오피스텔,2024-03-20,20600,36.93,49.84,3.0,,,2003,오피스텔,중개거래,서울 송파구
2024,11440,마포구,10200,공덕동,1,대지,0188,0108,마포현대,2024-03-20,101000,84.87,0.0,11.0,,,1988,아파트,중개거래,서울 마포구
2024,11440,마포구,12600,중동,1,대지,0390,0000,DMC마포청구아파트,2024-03-20,87500,84.9,0.0,20.0,,,1994,아파트,중개거래,서울 마포구
2024,11320,도봉구,10800,도봉동,1,대지,0083,0000,유원도봉,2024-03-20,55000,84.93,0.0,9.0,,,1990,아파트,중개거래,서울 도봉구
2024,11230,동대문구,10500,답십리동,1,대지,0010,0000,동아,2024-03-20,55000,84.72,0.0,1.0,,,2001,아파트,중개거래,서울 송파구
2024,11290,성북구,13300,정릉동,1,대지,0607,0019,현대빌라(607-19),2024-03-20,10000,60.42,28.0,1.0,,,1992,연립다세대,직거래,
2024,11215,광진구,10100,중곡동,1,대지,0234,0020,(234-20),2024-03-20,9700,24.84,14.0,1.0,,,2001,연립다세대,중개거래,서울 광진구
2024,11560,영등포구,13200,신길동,1,대지,4964,0000,신길센트럴자이아파트,2024-03-20,105000,59.98,0.0,28.0,,,2021,아파트,중개거래,서울 영등포구
2024,11560,영등포구,11800,도림동,1,대지,0165,0001,동아에코빌,2024-03-20,75000,84.99,0.0,15.0,,,2000,아파트,중개거래,서울 영등포구
2024,11440,마포구,12300,망원동,1,대지,0422,0008,이레쉐르빌(422-8),2024-03-20,34500,46.98,28.0,2.0,,,2008,연립다세대,중개거래,서울 마포구
2024,11440,마포구,12500,성산동,1,대지,0004,0010,(4-10),2024-03-20,28500,47.69,24.0,2.0,,,1995,연립다세대,중개거래,서울 마포구
2024,11230,동대문구,10900,휘경동,1,대지,0057,0000,주공2,2024-03-20,36000,39.98,0.0,11.0,,,2001,아파트,중개거래,서울 송파구
2024,11215,광진구,10700,화양동,1,대지,0021,0020,광진캠퍼스시티,2024-03-20,13400,16.08,26.41,9.0,,,2017,오피스텔,중개거래,서울 광진구
2024,11410,서대문구,11800,홍은동,1,대지,0008,0035,"초원빌라(8-35가,나동)",2024-03-20,12500,40.95,42.0,2.0,,,1991,연립다세대,중개거래,서울 서대문구
2024,11350,노원구,10600,중계동,,,,,,2024-03-20,28900,18.0,22.0,0.0,,,1988,단독다가구,중개거래,서울 노원구
2024,11440,마포구,12500,성산동,1,대지,0020,0005,자슬린하우스,2024-03-20,47000,50.86,30.0,3.0,,,2017,연립다세대,중개거래,서울 마포구
2024,11305,강북구,10300,수유동,1,대지,0391,0417,인수빌리지,2024-03-20,24500,59.09,19.0,1.0,,,2002,연립다세대,중개거래,서울 강북구
2024,11545,금천구,10200,독산동,1,대지,0180,0038,태영하이빌,2024-03-20,20000,44.85,23.0,3.0,,,2002,연립다세대,중개거래,서울 금천구
2024,11590,동작구,10200,상도동,1,대지,0361,0006,우전빌라,2024-03-20,22000,52.64,35.0,4.0,,,1996,연립다세대,직거래,
2024,11200,성동구,11000,금호동2가,1,대지,0001,0000,신금호파크자이,2024-03-20,127000,59.98,0.0,10.0,,,2016,아파트,중개거래,서울 성동구
2024,11470,양천구,10300,신월동,1,대지,0470,0019,부강타운(마),2024-03-20,14700,45.93,31.0,1.0,,,1988,연립다세대,중개거래,서울 양천구
2024,11710,송파구,10200,신천동,1,대지,0011,0000,장미2,2024-03-20,217000,99.0,0.0,11.0,,,1979,아파트,중개거래,서울 송파구
